(5000000001; 2)
(5008657463; 3)
(5008659358; 2)
(5008738948; 3)
(5008742738; 2)
(5008788218; 3)
(5008797693; 2)
(5008816643; 3)
(5008820433; 2)
(5008828013; 3)
(5008829908; 2)
(5008831803; 3)
(5008882968; 2)
(5008896233; 3)
(5008915183; 2)
(5008983403; 3)
(5009030778; 2)
(5009032673; 3)
(5009034568; 2)
(5009216488; 3)
(5009220278; 2)
(5009275233; 3)
(5009280918; 2)
(5009705398; 3)
(5021898214; 2)
(5021902010; 3)
(5022315774; 2)
(5022334754; 3)
(5022336652; 2)
(5022442940; 3)
(5022446736; 2)
(5022448634; 3)
(5022463818; 2)
(5023000952; 3)
(5023014238; 2)
(5023027524; 3)
(5023029422; 2)
(5023031320; 3)
(5023040810; 2)
(5023097750; 3)
(5023099648; 2)
(5023105342; 3)
(5023135710; 2)
(5023357776; 3)
(5023363470; 2)
(5023365368; 3)
(5023371062; 2)
(5023372960; 3)
(5025809992; 2)
(5025811890; 3)
(5025813788; 2)
(5025815686; 3)
(5025931464; 2)
(5025937158; 3)
(5025961832; 2)
(5025965628; 3)
(5025967526; 2)
(5025971322; 3)
(5025973220; 2)
(5025975118; 3)
(5025978914; 2)
(5026003588; 3)
(5026005486; 2)
(5026007384; 3)
(5026013078; 2)
(5026016874; 3)
(5026018772; 2)
(5026041548; 3)
(5026043446; 2)
(5026045344; 3)
(5026073814; 2)
(5026075712; 3)
(5026077610; 2)
(5026096590; 3)
(5026098488; 2)
(5026119366; 3)
(5026121264; 2)
(5026128856; 3)
(5026132652; 2)
(5026136448; 3)
(5026138346; 2)
(5026147836; 3)
(5026430736; 2)
(5026432635; 3)
(5026436433; 2)
(5026440231; 3)
(5026442130; 2)
(5026491504; 3)
(5026493403; 2)
(5026495302; 3)
(5026497201; 2)
(5026500999; 3)
(5026510494; 2)
(5026525686; 3)
(5026527585; 2)
(5026529484; 3)
(5026531383; 2)
(5026537080; 3)
(5026825728; 2)
(5026827627; 3)
(5026831425; 2)
(5026920678; 3)
(5031884846; 4)
(5031888646; 3)
(5031920946; 4)
(5031955146; 3)
(5031960846; 4)
(5031974146; 3)
(5031981746; 4)
(5031993146; 3)
(5032006446; 4)
(5032010246; 3)
(5033114146; 4)
(5033119846; 3)
(5033121746; 4)
(5033152146; 3)
(5033161646; 4)
(5061527643; 5)
(5061544788; 4)
(5061548598; 5)
(5061550503; 4)
(5061552408; 5)
(5061579078; 4)
(5061586698; 5)
(5061590508; 4)
(5061592413; 5)
(5061600033; 4)
(5074763625; 5)
(5074765533; 4)
(5074767441; 5)
(5074775073; 4)
(5074776981; 5)
(5074778889; 4)
(5074782705; 5)
(5075316945; 4)
(5075337933; 5)
(5075339841; 4)
(5076618201; 5)
(5076713601; 4)
(5076723141; 5)
(5076812817; 4)
(5076816633; 5)
(5076870057; 4)
(5076871965; 5)
(5076873873; 4)
(5076875781; 5)
(5076877689; 4)
(5076955917; 5)
(5076957825; 4)
(5077488249; 5)
(5077492065; 4)
(5077518777; 5)
(5077524501; 4)
(5077530225; 5)
(5077539765; 4)
(5077541673; 5)
(5077545489; 4)
(5077547397; 5)
(5078053017; 4)
(5078054925; 5)
(5078064465; 4)
(5078136969; 5)
(5078138877; 4)
(5078142693; 5)
(5078148417; 4)
(5078152233; 5)
(5078154141; 4)
(5078161773; 5)
(5078194209; 4)
(5078196117; 5)
(5078573901; 4)
(5078577717; 5)
(5078581533; 4)
(5078583441; 5)
(5078585349; 4)
(5078594889; 5)
(5078625417; 4)
(5078629233; 5)
(5078730357; 4)
(5078755161; 5)
(5078776149; 4)
(5078785689; 5)
(5078789505; 4)
(5078858193; 5)
(5078903985; 4)
(5078905893; 5)
(5078907801; 4)
(5078936421; 5)
(5079787635; 4)
(5079789544; 5)
(5079806725; 4)
(5080081621; 5)
(5080140800; 4)
(5080146527; 5)
(5085944842; 4)
(5085975402; 5)
(5085977312; 4)
(5086007872; 5)
(5086605702; 4)
(5086607612; 5)
(5086609522; 4)
(5086611432; 5)
(5086613342; 4)
(5086615252; 5)
(5086617162; 4)
(5086619072; 5)
(5086626712; 4)
(5086628622; 5)
(5086714572; 4)
(5086720302; 5)
(5086722212; 4)
(5087109942; 5)
(5087111852; 4)
(5087113762; 5)
(5087130952; 4)
(5087134772; 5)
(5087136682; 4)
(5087138592; 5)
(5087153872; 4)
(5087159602; 5)
(5087228362; 4)
(5087230272; 5)
(5087278022; 4)
(5087279932; 5)
(5087661932; 4)
(5087663842; 5)
(5087757432; 4)
(5087763162; 5)
(5087782262; 4)
(5088116512; 5)
(5088118422; 4)
(5088126062; 5)
(5088127972; 4)
(5088133702; 5)
(5088139432; 4)
(5088414472; 5)
(5088615022; 4)
(5088628392; 5)
(5088630302; 4)
(5088639852; 5)
(5088641762; 4)
(5088645582; 5)
(5088647492; 4)
(5088657042; 5)
(5088658952; 4)
(5088668502; 5)
(5088670412; 4)
(5088672322; 5)
(5088695242; 4)
(5088704792; 5)
(5088708612; 4)
(5088714342; 5)
(5088716252; 4)
(5088718162; 5)
