(621000000001; -1)
(621851033199; -2)
(621851075443; -1)
(621860136781; -2)
(621860305757; -1)
(621860516977; -2)
(621860749319; -1)
(621861150637; -2)
(621861171759; -1)
(621861235125; -2)
(621861277369; -1)
(621861319613; -2)
(621861467467; -1)
(621961105083; -2)
(621961274075; -1)
(621961548687; -2)
(621961569811; -1)
(621996846973; -2)
(621996868098; -1)
(621999022848; -2)
(621999065098; -1)
(621999086223; -2)
(621999128473; -1)
(621999276348; -2)
(621999381973; -1)
(621999973473; -2)
