(69000000001; 0)
(69883128973; -1)
(69883143133; 0)
(69883242253; -1)
(69883270573; 0)
(69883277653; -1)
(69883298893; 0)
(69883305973; -1)
(69883482973; 0)
(69883490053; -1)
(69883603333; 0)
(69883610413; -1)
(69883617493; 0)
(69883886533; -1)
(69883893613; 0)
(69883900693; -1)
(69883929013; 0)
(69883943173; -1)
(69884091853; 0)
(69884120173; -1)
(69884162653; 0)
(69884325493; -1)
(69884332573; 0)
(69884382133; -1)
(69884389213; 0)
(69884410453; -1)
(69884424613; 0)
(69884516653; -1)
(69884913149; 0)
(69884927311; -1)
(69884934392; 0)
(69884991040; -1)
(69961672861; 0)
(69961701197; -1)
(69962034145; 0)
(69962041229; -1)
(69962069565; 0)
(69962522941; -1)
(69962544193; 0)
